Nahuatl|Spanish|Verse
Yejhua in xquijlican Arquipo: “Xquelnamiqui, cuajli xchihua nochi on itequiu toTeco yejhuan omitzmactilij.”|"Decid a Arquipo: ""Cuida el ministerio que has recibido del Señor, para que lo cumplas."|b.COL.4.17
Ijquin nentecajcayahuaj. Moisés otlanahuatij: “Xtlacaita motaj niman monan.” Niman no oquijtoj: “Yejhuan itlaj xcuajli quitenehuilis itaj noso inan, ma quimictican.”|Porque Moisés dijo: Honra a tu padre y a tu madre, y: El que maldice a su padre o a su madre muera irremisiblemente|b.MAR.7.10
Yejhua más quinmachtiaya, oquimijlij: ―Xmotacan sa no nemejhuamej intech on temachtijquej ican tlanahuatijli yejhuan cuelitaj tlaquenhuejhueyac quistinemij. Yejhuamej cuelitaj quistinemisquej ican intlaquen huejhueyaquej para nochi tlacatl quinemilis ica on temachtijquej ican itlanahuatil Dios sanoyej hueyixticaj. Niman cuelitaj ijcuac tlacamej quintlajpalohuaj neca ipan plaza.|Y en su enseñanza decía: --Guardaos de los escribas, a quienes les gusta pasearse con ropas largas y aman las salutaciones en las plazas|b.MAR.12.38
ica yejhua techmaquixtis intech on totlahuelicnihuan niman itech inpoder nochimej on yejhuan techtlahuelitaj.|Salvación de nuestros enemigos y de la mano de todos los que nos aborrecen|b.LUK.1.71
Cada se, tej, nonequi nemis quen nemiya ijcuac opeu quineltoca Cristo.|Cada uno permanezca en la condición en que fue llamado|b.1CO.7.20
Cuajli xmohuicacan para cuajli nenquiteititisquej ica yonencajcajquej nenquichihuaj on tlen xcuajli. Niman ma ca nemejhuamej nenquijtosquej: “Xitlaj huelis nochihuas totech, pampa titeconehuan itech Abraham.” Nejhua nemechijlia ica hasta in temej Dios huelis quincuepas teconehuan itech Abraham.|"Producid, pues, fruto digno de arrepentimiento y no comencéis a decir dentro de vosotros mismos: ""A Abraham tenemos por padre."" Porque os digo que aun de estas piedras Dios puede levantar hijos a Abraham"|b.LUK.3.8
'¡Lástima para nemejhuamej temachtijquej ican itlanahuatil Dios niman nemejhuamej fariseos, nenomexayacyejquej! Lástima, pampa nemijcomej quen on micacajli yejhuan ne camposanto cuajli quistaliaj san para cualtzin tlajtlacha, pero ijtic tenticaj ican micaomimej niman ican nochi tlajtlamach tlen xchipahuac.|"""¡Ay de vosotros, escribas y fariseos, hipócritas! Porque sois semejantes a sepulcros blanqueados que, a la verdad, se muestran hermosos por fuera; pero por dentro están llenos de huesos de muertos y de toda impureza"|b.MAT.23.27
Quemaj oquisquej on fariseos ipan intiopan on hebreos, niman opejquej notlajtoltiaj quen ijqui huelisquej quimictisquej Jesús.|Pero saliendo los fariseos, tomaron consejo contra él, cómo destruirlo|b.MAT.12.14
Intlayecancahuan on tiopixquej, niman nochimej on tetlacanojnotzquej quitejtemohuayaj quen ijqui quiteixpanhuisquej Jesús para ijqui huelis quimictisquej.|Los principales sacerdotes, los ancianos y todo el Sanedrín buscaban falso testimonio contra Jesús, para que le entregaran a muerte|b.MAT.26.59
Ma ticyectenehuacan toTajtzin Dios yejhuan iDios niman iTajtzin toTeco Jesucristo, pampa yejhua techicnelijticaj niman nochipa techyoltlalijticaj.|Bendito sea el Dios y Padre de nuestro Señor Jesucristo, Padre de misericordias y Dios de toda consolación|b.2CO.1.3
'Nejhua impampa motech nitlajtlani. Xictlajtlani impampa on tlalticpactlacamej, yej impampa on yejhuan otinechinmacac pampa yejhuamej moyaxcahuan.|"""Yo ruego por ellos. No ruego por el mundo, sino por los que me has dado; porque tuyos son"|b.JOH.17.9
On apóstoles ohuajquisquej ne imixpan on tetlacanojnotzquej ican pactli, pampa Dios oquincahuilij oquimpijpinahuijquej pampa quineltocayaj Jesús.|Por lo tanto, ellos partieron de la presencia del Sanedrín, regocijándose porque habían sido considerados dignos de padecer afrenta por causa del Nombre|b.ACT.5.41
Yejhua ica, tej, ma tiquejecocan ticchihuasquej on tlajtlamach yejhuan cuajquij yolsehuilistli, niman quimiscaltiaj ocsequimej impan intlaneltoc.|Así que, sigamos lo que contribuye a la paz y a la mutua edificación|b.ROM.14.19
Quemaj on ilhuicactequitquetl ocontlajcal on Satanás ne ijtic on pozo niman ompa oquitzacu. Ipan on tlatzacuilyotl yejhuan ica oquitzacu on pozo oquitlalij se sello para on Satanás ma ca sa más quincajcayahuas on países hasta tla yopanoc on se mil xipan. Tla yopanoc se mil xipan, ica oncaj ocsejpa quimacahuasquej san quesqui tonaltin.|Lo arrojó al abismo y lo cerró, y lo selló sobre él para que no engañase más a las naciones, hasta que se cumpliesen los mil años. Después de esto, es necesario que sea desatado por un poco de tiempo|b.REV.20.3
Ijcuac on mimiquej yolihuisquej, xnonamictisquej nion on tatajtin quitemacasquej imichpochhuan para ma nonamictican. Ijcuacon nemisquej quen iilhuicactequitcahuan Dios yejhuan nemij ne ilhuicac.|Porque cuando resuciten de entre los muertos, no se casarán ni se darán en casamiento, sino que son como los ángeles que están en los cielos|b.MAR.12.25
Niman ocsecan no quijtohua: “Quitasquej on yejhuan oquitzopinijquej.|También otra Escritura dice: Mirarán al que traspasaron|b.JOH.19.37
Quemaj on tajtli oquitato on ocse iconeu, niman no sa no ijqui oquijlij. Niman yejhua in iconeu oquijlij: “Quemaj nias.” Pero yejhua xoyaj.|"Al acercarse al otro, le dijo lo mismo; y él respondió diciendo: ""¡Sí, señor, yo voy!"" Y no fue"|b.MAT.21.30
Ipan on cimiento se calchijquetl huelis quiscaltis on tepantli ican oro, plata noso ican cualtzitzintin temej. Noso yejhua huelis quichijchihuas ican cojtli, sacatl noso milohuatl.|Si alguien edifica sobre este fundamento con oro, plata, piedras preciosas, madera, heno u hojarasca|b.1CO.3.12
Xtlajpalo Prisca niman Aquila, niman ichanchanejcahuan Onesíforo.|Saluda a Priscila y a Aquilas, y a la casa de Onesíforo|b.2TI.4.19
Ijqui tej, cada se ica oncaj tiquijlisquej Dios nochi tlen cuajli niman on tlen xcuajli ticchihuaj.|De manera que cada uno de nosotros rendirá cuenta a Dios de sí mismo|b.ROM.14.12
Pero tla yejhua on tequitquetl quinemilis ica on iteco oc polihui para huajlas, niman pehuas quinhuisoquis on tlacamej tequitquej niman on sihuamej tequitquej, niman san tlacuas, niman atlis niman tlahuantinemis,|"Pero si aquel siervo dice en su corazón: ""Mi señor tarda en venir"" y comienza a golpear a los siervos y a las siervas, y a comer y a beber y a embriagarse"|b.LUK.12.45
Niman ijcuac Simón Pedro oquitac on tlen onochiu, onotlacuenquetztiaj ixpan Jesús niman oquijlij: ―Xnechtlalcahui, noTeco, pampa nejhua nitlajtlacolej.|Y Simón Pedro, al verlo, cayó de rodillas ante Jesús exclamando: --¡Apártate de mí, Señor, porque soy hombre pecador|b.LUK.5.8
Ijcuac yotlacuajquej, Jesús oquitlajtoltij Simón Pedro: ―Simón, iconeu Jonás, ¿más tinechtlajsojtla xquen yejhuamej in? Pedro oquijlij: ―Quemaj. NoTeco, tejhua ticmati ica nimitztlajsojtla. Jesús oquijlij: ―Tla ijcon xquintlacualti noborreguitos.|Cuando habían comido, Jesús dijo a Simón Pedro: --Simón hijo de Jonás, ¿me amas tú más que éstos? Le dijo: --Sí, Señor; tú sabes que te amo. Jesús le dijo: --Apacienta mis corderos|b.JOH.21.15
niman oquimanahuij ipan nochi tlen teyolcocoj. Oquimacac tlamachilistli niman oquipalehuij para quipactis Faraón on irey on país Egipto. Niman on rey oquitlalij José quen más hueyi tlayecanquetl itech on país Egipto niman no sa no itech nochi tlin iyaxca on rey.|le libró de todas sus tribulaciones y le dio gracia y sabiduría en la presencia del Faraón, rey de Egipto, quien le puso por gobernador sobre Egipto y sobre toda su casa|b.ACT.7.10
Pero nejhua quemaj niquixmati pampa itech nihualehua, niman yejhua onechajtitlan.|Yo le conozco, porque de él provengo, y él me envió|b.JOH.7.29
Yejhua ica on, Pilato oquinmactilij para ma quimajmasohualtican ipan cojnepanojli, niman on soldados ocuicaquej.|Y con esto entonces lo entregó a ellos para que fuese crucificado. Tomaron pues a Jesús|b.JOH.19.16
Pero Jesús oquijlij: ―On yejhuan quemach otlan naltia xoc nonequi nochi nopajpacas, yej san icxihuan, pampa nochihuiyan chipajticaj. Nemoyojlo chijchipajtoquej, masqui xnochimej.|Le dijo Jesús: --El que se ha lavado no tiene necesidad de lavarse más que los pies, pues está todo limpio. Ya vosotros estáis limpios, aunque no todos|b.JOH.13.10
Xtihuelij ticajsicamatij quen ijqui se tlacatl niman isihuau huelij nemij quen se cuerpo masqui on melahuac. In quijtosnequi más hueyi de on se tlacatl niman on sihuatl yejhuan nonamictiaj. In, tej, quijtosnequi on namictijli de Cristo niman on yejhuan itech tlaneltocaj.|Grande es este misterio, pero lo digo respecto de Cristo y de la iglesia|b.EPH.5.32
on ica macuijli ican ónice, on ica chicuasen ican cornalina, on ica chicome ican crisólito, on ica chicueyi ican berilo, on ica chicnahui ican topacio, on ica majtlactli ican crisoprasa, on ica majtlactli huan se ican jacinto, niman on ica majtlactli huan ome ican amatista.|el quinto de ónice, el sexto de cornalina, el séptimo de crisólito, el octavo de berilo, el noveno de topacio, el décimo de crisoprasa, el undécimo de jacinto, el duodécimo de amatista|b.REV.21.20
Yejhua cuajli oquimachtijquej on iojhui toTeco, niman tlajtohuaya ican miyec yolchicahualistli. Yejhua temachtiaya melajqui itech ica Jesús, masqui yejhua san quixmatiya itlacuatequil Juan.|Éste había sido instruido en el Camino del Señor; y siendo ferviente de espíritu, hablaba y enseñaba con exactitud las cosas acerca de Jesús, aunque conocía solamente el bautismo de Juan|b.ACT.18.25
Pero ijcuac oquipanextij itetlajsojtlalis niman inequilis Dios toTemaquixticatzin,|Pero cuando se manifestó la bondad de Dios nuestro Salvador y su amor por los hombres|b.TIT.3.4
Nochimej yejhuamej, masqui Dios oquinselij quen yolchipajquej pampa oquipixquej tlaneltoctli, xoquiselijquej on tlen Dios oquitlalij ipan ipromesa.|Y todos éstos, aunque recibieron buen testimonio por la fe, no recibieron el cumplimiento de la promesa|b.HEB.11.39
On hueyican petlaniya ican ihueyilis Dios. On ipetlanalis ijcon catca quen ipetlanalis on yejhuan más cualtzin tetl itoca jaspe, niman tlanespan quen tescatl yejhuan itoca cristal.|Tenía la gloria de Dios, y su resplandor era semejante a la piedra más preciosa, como piedra de jaspe, resplandeciente como cristal|b.REV.21.11
Betania nisiu Jerusalén catca. San quipiaya canaj ome kilómetro huan tlajco ica huejca,|Betania estaba cerca de Jerusalén, como a quince estadios|b.JOH.11.18
On tlacamej de nochihuiyan países nixpan nosentlalisquej. Quemaj on yejhuan yolchipajquej niquinxelos intech on yejhuan xyolchipajquej, ijcon quen on tlajpixqui quinxelohua on iborreguitos itech on ichivos.|y todas las naciones serán reunidas delante de él. Él separará los unos de los otros, como cuando el pastor separa las ovejas de los cabritos|b.MAT.25.32
Ipan on tonaltin on nomachtijquej oquinisihuijquej Jesús niman oquitlajtoltijquej: ―¿Aquinon más hueyixticaj ne campa tlamandarohua on ilhuicac chanej?|En aquel tiempo los discípulos se acercaron a Jesús diciendo: --¿Quién es el más importante en el reino de los cielos|b.MAT.18.1
Quemaj on ica ome ilhuicactequitquetl oquipitz itrompeta niman ne ipan mar ocontlajcalquej on quen se hueyi tepetl tlicuitiu. Niman de nochi on yexcantipan on quech oncatca mar, se parte onochiu yestli.|El segundo ángel tocó la trompeta. Y algo como un gran monte ardiendo con fuego fue lanzado al mar. Y la tercera parte del mar se convirtió en sangre|b.REV.8.8
Niman tla on mimiquej xyolihuisquej, ¿tlica tejhuamej yejhuan tiapóstoles nochipa san ipampa on techmictisnequij?|¿Y por qué, pues, nos arriesgamos nosotros a toda hora|b.1CO.15.30
Sanoyej tlatiochijtiyesquej niman yolchipajquej yesquej on yejhuan achtoj yolihuisquej niman noquetztehuasquej. Yejhuamej xmiquisquej ica ocpa quen on ocsequimej yesquej. Yejhuamej intiopixcahuan yesquej Dios niman Cristo. Niman mil xipan ihuan Cristo tequihuajtisquej.|Bienaventurado y santo el que tiene parte en la primera resurrección. Sobre éstos la segunda muerte no tiene ningún poder; sino que serán sacerdotes de Dios y de Cristo, y reinarán con él por los mil años|b.REV.20.6
Ijcon, tej, nochi tlen cuajli cojtlaquijlyotl quipia cuajli itlaquilyo, niman nochi tlen xcuajli cojtlaquijlyotl quipia xcuajli itlaquilyo.|Así también, todo árbol sano da buenos frutos, pero el árbol podrido da malos frutos|b.MAT.7.17
'Xcajsicamatican in ejemplo itech on higuera. Ijcuac on imahuan seliaj niman pehua xojyoquisaj, nemejhuamej nenquimatij ica ye nisiu on xopantlaj.|De la higuera aprended la analogía: Cuando su rama ya está tierna y brotan sus hojas, sabéis que el verano está cerca|b.MAT.24.32
¿Catlejhua más xtepopoloj niquijtos: “Motlajtlacolhuan yotlapojpolhuilojquej”, noso niquijtos: “Xmoquetztehua, xcajcocui motlapech niman xnejnemi”?|"¿Qué es más fácil, decir al paralítico: ""Tus pecados te son perdonados""; o decirle: ""Levántate, toma tu camilla y anda"""|b.MAR.2.9
Niman on ilhuicactequitquetl oquinanquilij: ―Nejhua niGabriel, niman niitequitcau Dios. Dios, tej, onechajtitlan ma nimitznotzaqui para nimitzijlis in cuajli tlajtojli.|Respondió el ángel y le dijo: --Yo soy Gabriel, que estoy delante de Dios, y he sido enviado para hablarte y anunciarte estas buenas nuevas|b.LUK.1.19
Pero ijcuac on tlacamej oquimatquej, oyajquej ihuan. Niman Jesús oquinselij niman oquinnojnotz ica on quen Dios tlamandarohua impan on yejhuan quinocahuiliaj, niman Jesús no oquimpajtij on cocoxquej.|Pero al saberlo las multitudes, le siguieron; y él los recibió y les hablaba del reino de Dios y sanaba a los que tenían necesidad de ser sanados|b.LUK.9.11
Niman aman toTeco Dios, xquita quen techchicajcanahuatiaj, niman xquincahuili motequitcahuan para ma quiteijlijcan motlajtol ican nochi yolchicahualistli.|Y ahora, Señor, mira sus amenazas y concede a tus siervos que hablen tu palabra con toda valentía|b.ACT.4.29
Quemaj Judas nimantzin oquinisihuij Jesús, niman oquijlij: ―Notemachtijcau. Niman quemaj oquitencuaj.|Cuando llegó, de inmediato se acercó a él y dijo: --¡Rabí! Y le besó|b.MAR.14.45
Sanoyej yotihuejcajcaj tinejnemiyaj, niman ye temojtij catca para tiasquiaj ipan atl, pampa ye nisiu on tonaltin invierno ijcuac sanoyej sehua niman ajaca. Yejhua ica Pablo ijquin quintlacanonotzaya, oquimijlij:|Puesto que había transcurrido mucho tiempo y se hacía peligrosa la navegación, porque también el Ayuno ya había pasado, Pablo les amonestab|b.ACT.27.9
Yejhua in mechititia ica Dios nochipa quichihua tlen cuajli, pampa itechcopa on tlajyohuilistli nemochipahuaj para huelis nencalaquisquej ne campa Dios tlamandarohua.|Esto da muestra evidente del justo juicio de Dios, para que seáis tenidos por dignos del reino de Dios, por el cual también estáis padeciendo|b.2TH.1.5
Yejhua ica nocnihuan, ijcuac nemosentlalisquej para nenquicuasquej on isanta cena toTeco, xquinchacan ocsequimej para ijcon san secan pehuas nentlacuasquej.|Así que, hermanos míos, cuando os reunáis para comer, esperaos unos a otros|b.1CO.11.33
Ijcon xchocacan pampa yejcos on tonajli ijcuac ijquin nijtos: “Dios quintiochihua on sihuamej yejhuan tetzacamej, on sihuamej yejhuan xqueman canaj inconeu niman on chichihualtin yejhuan xqueman tlachichitiaj.”|"Porque he aquí vendrán días en que dirán: ""Bienaventuradas las estériles, los vientres que no concibieron y los pechos que no criaron."|b.LUK.23.29
Yejhua ica nemechelnamictijtias yejhua in tlajtlamach, masqui ye nenquimatztoquej niman ye nenmelajcanemij ipan on cuajli temachtijli yejhuan yonenquiselijquej.|Por eso, siempre habré de traeros estas cosas a la memoria, aunque vosotros las sabéis y estáis afirmados en la verdad que está presente en vosotros|b.2PE.1.12
niman oquijlijquej: ―Xtlajto, tiotlajtojquetl. Tejhua Cristo, xtechijli aquinon omitzmailij.|diciendo: --¡Profetízanos, Cristo! ¿Quién es el que te golpeó|b.MAT.26.68
Niman ijcuac on diablo yotlan quitlatlata Jesús, oquitlalcahuij sequi tonaltin.|Cuando el diablo acabó toda tentación, se apartó de él por algún tiempo|b.LUK.4.13
Quemaj on inomachtijcahuan oquitlajtoltijquej tlinon quijtosnequi on ejemplo.|Sus discípulos le preguntaron qué significaba esta parábola|b.LUK.8.9
Tlayohua niman tlajocaj tzajtzitinemiya, niman nocojcocohuaya ican temej ne imanyan on ostomej campa notocayaj on mimiquej niman ipan on tepemej.|Continuamente, de día y de noche, andaba entre los sepulcros y por las montañas, gritando e hiriéndose con piedras|b.MAR.5.5
Ijcuac Juan ohuajlaj, nosahuaya niman xitlaj coniya. Pero yejhuamej oquijtojquej ica yejhua oquipix se xcuajli espíritu.|Porque vino Juan, que no comía ni bebía, y dicen: 'Tiene demonio.|b.MAT.11.18
Tej, nejhua yejhuan oninochiu Tlacatl nicpia tequihuayotl para niquijtos tlinon cuajli para se quichihuas ipan on tonajli ijcuac on hebreos nosehuiaj.|Porque el Hijo del Hombre es Señor del sábado|b.MAT.12.8
Niman on oquichconetl noscaltiaya niman chicajtiaya itech Dios. Niman yejhua ochantic ne campa tlapatlaco hasta ipan on tonajli ijcuac yejhua onoteititij itech on tlacamej yejhuan chantij ipan on país de Israel.|Y el niño crecía y se fortalecía en espíritu, y estaba en el desierto hasta el día de su manifestación a Israel|b.LUK.1.80
Niman miyequej quitocasquej on xcuajli tlajtlamach yejhuan on tlacajcayajquej temachtijquej quitemachtisquej. Niman san ipampa on tlen quichihuaj, on yejhuan xtocnihuan quitenehuilisquej tlen xcuajli on yectlajtojli yejhuan melahuac.|Y muchos seguirán tras la sensualidad de ellos, y por causa de ellos será difamado el camino de la verdad|b.2PE.2.2
Quemaj oquintitlan ne Macedonia omemej itlapalehuijcahuan Timoteo niman Erasto, niman yejhua onocau quesqui tonajli ne Asia.|Y después de enviar a Macedonia a dos de los que le ayudaban, a Timoteo y a Erasto, él mismo se detuvo por algún tiempo en Asia|b.ACT.19.22
¿Tlica, tej, xonencajsicamatquej ica xejhua on pan nictenejticatca ijcuac onemechijlij ica xmotacan sa no nemejhuamej itech intlaxocolilis on fariseos niman saduceos?|¿Cómo es que no entendéis que no os hablé del pan? ¡Pero guardaos de la levadura de los fariseos y de los saduceos|b.MAT.16.11
Yejhua ica, tej, Jesús xoc quistinemiya ne intzajlan on hebreos, yej oquis ne Judea niman oyaj ne ipan se pueblo itoca Efraín yejhuan nisiu tlapatlaco. Ompa onocau inhuan inomachtijcahuan.|Por lo tanto, Jesús ya no andaba abiertamente entre los judíos, sino que se fue de allí a la región que está junto al desierto, a una ciudad que se llama Efraín; y estaba allí con sus discípulos|b.JOH.11.54
Yejhua ica, tej, ipampa itlaneltoc, Dios oquiselij quen se yejhuan yolmelajqui.|Por esta razón le fue contada por justicia|b.ROM.4.22
¿Hueli ameyaj atl yejhuan xpoyec niman atl yejhuan poyec ipan san se ameyajli? ¡Ca!|¿Será posible que de un manantial brote agua dulce y amarga por la misma abertura|b.JAM.3.11
Niman nochimej on chanejquej ne Jerusalén cuajli oquimatquej quen onochiu, niman ijcon, tej, on tlajli oquitocayotijquej Acéldama, yejhuan ican intlajtol quijtosnequi Yestlajli.|Y esto llegó a ser conocido por todos los habitantes de Jerusalén, de tal manera que aquel campo fue llamado en su lengua Acéldama, que quiere decir Campo de Sangre.|b.ACT.1.19
¿Aquin nejhua, tej, ica tejhua yejhuan inan noTeco otihuajlaj para otinechnotzaco?|¿De dónde se me concede esto, que la madre de mi Señor venga a mí|b.LUK.1.43
Nicnequi para on yejhuan hebreos quen nejhua ma noxicocan ipampa on temaquixtilistli yejhuan on xhebreos quipiaj. Tla on hebreos noxicosquej, cas huelis sequimej maquisasquej.|por si de alguna manera pueda provocar a celos a los de mi carne y hacer salvos a algunos de ellos|b.ROM.11.14
Nemejhuamej, tej, xmochihuacan cuajcualtin ican nochi tlajtlamach para nennemisquej quen nemoTajtzin ilhuicac chanej.|Sed, pues, vosotros perfectos, como vuestro Padre que está en los cielos es perfecto|b.MAT.5.48
Sa no nejhua noca ninoteixpantilia, niman noTajtzin yejhuan onechajtitlan, no yejhua noteixpantilis.|Yo soy el que doy testimonio de mí mismo, y el Padre que me envió también da testimonio de mí|b.JOH.8.18
Yejhua ica más nicnequi para nictitlanis, para ijcuac ocsejpa nenquitasquej nempaquisquej. Niman no ijqui nejhua xmás ninajmantias ijcuac nicmatis ica nemejhuamej yonenquitaquej ica xoc cualo.|Por lo tanto, le envío con más urgencia, para que os volváis a gozar al verlo y yo esté libre de preocupación|b.PHI.2.28
Niman huajmostla onosentlalijquej ne Jerusalén on intlayecancahuan on hebreos, on tlajtlajmatquej niman on temachtijquej ican on tlanahuatijli.|Al día siguiente, aconteció que se reunieron en Jerusalén los gobernantes de ellos, los ancianos y los escribas|b.ACT.4.5
Ijcuac onajsic ne ipan on hueyican itoca Troas para nitemachtis on temachtijli ica quen ijqui Cristo hueli temaquixtia, oniquitac ica oncaj miyec tequitl yejhuan huelisquia nicchihuasquia para toTeco.|Cuando llegué a Troas para predicar el evangelio de Cristo, aunque se me había abierto puerta en el Señor|b.2CO.2.12
niman Judá teconeu catca itech Jacob, niman Jacob teconeu catca itech Isaac, niman Isaac teconeu catca itech Abraham, niman Abraham teconeu catca itech Taré, niman Taré teconeu catca itech Nacor,|hijo de Jacob, hijo de Isaac, hijo de Abraham, hijo de Taré|b.LUK.3.34
Pilato ica oncatca para quinmacahuilis se tlacatl yejhuan tzacuticatca on tlacamej ipan on ilhuitl.|Pues tenía necesidad de soltarles uno en cada fiesta|b.LUK.23.17
Yejhua ica in on Espíritu Santo techititia ica chica quitequitiltiaya on achtoj tlayectenehuajloyan ne ipan on tiopan, on ojtli oc xtlapojticatca yejhuan ica ajsilos ne campa más tlayectenehuajloyan.|Con esto el Espíritu Santo daba a entender que todavía no había sido mostrado el camino hacia el lugar santísimo, mientras estuviese en pie la primera parte del tabernáculo|b.HEB.9.8
Ijcon nonequi ticchihuasquej chica ticchaj ma yejco on tonajli ijcuac Dios nochi quinahuatis. Niman nonequi ticchihuasquej canica para saniman ma yejcotetzi. Ipan on tonajli on cielo tlatlas niman popolihuis. Niman nochi tlen oncaj patis ica on tlitl.|aguardando y apresurándoos para la venida del día de Dios! Por causa de ese día los cielos, siendo encendidos, serán deshechos; y los elementos, al ser abrasados, serán fundidos|b.2PE.3.12
Nicpia miyec tlajtlamach tlen nemoca niquijtos niman tlen nemechtlajtlacoltis. Pero noTajtzin yejhuan onechajtitlan yejhua quijtohua tlen melahuac. Niman tlen niquijtohua ipan in tlalticpactli on yejhua onicac itech.|Muchas cosas tengo que decir y juzgar de vosotros. Pero el que me envió es verdadero; y yo, lo que he oído de parte de él, esto hablo al mundo|b.JOH.8.26
Niman ¿aquinomej quintenehuaya Dios ijcuac oquimelajcaijtoj ica xcalaquisquej ne campa ihuan nosehuisquej? Dios quintenehuaya on yejhuan xoquitlacamatquej.|¿Y a quiénes juró que no entrarían en su reposo, sino a aquellos que no obedecieron|b.HEB.3.18
niman nemi san se Dios niman Tajtli para nochimej. Yejhua teTeco impan nochimej, niman tequiti impan nochimej, niman no nemi impan nochimej.|un solo Dios y Padre de todos, quien es sobre todos, a través de todos y en todos|b.EPH.4.6
¿Aquinon tlacajcayajquetl? Cuajli ticmatztoquej ica tlacajcayajquetl san yejhua on yejhuan quijtohua ica Jesús xejhua Cristo on yejhuan Dios oquitlapejpenij para techmandaros. Yej on tlacatl quinequi quixoxotonilis itequiu Cristo, pampa quijtohua ica Dios xejhua toTajtzin niman ica Jesús xejhua iConetzin.|¿Quién es mentiroso, sino el que niega que Jesús es el Cristo? Éste es el anticristo: el que niega al Padre y al Hijo|b.1JO.2.22
Pero on yejhuan sihuahuaj, notequimaca ica on tlajtlamach yejhuan oncaj ipan in tlalticpactli pampa yejhua quinequi quipactis isihuau.|pero el casado se preocupa de las cosas de la vida, de cómo ha de agradar a su esposa|b.1CO.7.33
Ijcon, tej, yejhuamej oquichijquej nochi tlen tejhua oticnec niman yotictlalijcaj moyojlo para nochihuas.|para llevar a cabo lo que tu mano y tu consejo habían determinado de antemano que había de ser hecho|b.ACT.4.28
Pero para ma ca yacaj ticualanisquej, xhuiya ne ipan mar para xcajsi se michin. Niman on yejhuan achtoj michin ticajsis, xquixti. Niman ipan icamac ticnextis se tomin yejhuan cajxilis para tictlaxtlahuas on quech techtlajtlaniaj nejhua niman tejhua ne ipan tiopan. Xquitqui, tej, on tomin niman xquintlaxtlahuiliti.|Pero, para que no los ofendamos, ve al mar, echa el anzuelo, y el primer pez que suba, tómalo. Cuando abras su boca, hallarás un estatero. Tómalo y dalo por mí y por ti|b.MAT.17.27
'Ijcuac nejhua yejhuan oninochiu Tlacatl nihuajlas, on tlacamej ijcon quichihuasquej quen oquichijquej ipan on tonaltin ijcuac nemiya Noé.|Porque como en los días de Noé, así será la venida del Hijo del Hombre|b.MAT.24.37
Chica yejhuamej yayaj ipan ojtli, se tlacatl oquijlij Jesús: ―NoTeco, nicnequi nias mohuan san canon tejhua tias.|Mientras ellos iban por el camino, cierto hombre le dijo: --¡Te seguiré a dondequiera que vayas|b.LUK.9.57
Nemechijlia ica ipan on tonajli ijcuac Dios teyolcuitis niman tetlajtlacolmacas, on pueblo más temojtij quiselis icastigo xquen on tlacamej yejhuan chantij ipan on hueyican Sodoma.|Os digo que en aquel día será más tolerable para Sodoma que para aquella ciudad|b.LUK.10.12
Niman on diablo oquijlij: ―Nejhua nimitzmacas nochi tequihuajyotl niman on hueyilistli yejhuan oncaj ipan in países. Nochi yejhua in onechmacaquej, yejhua ica nihuelis nicmacas san aquin nicnequis nicmacas.|Y el diablo le dijo: --A ti te daré toda autoridad, y la gloria de ellos; porque a mí me ha sido entregada, y la doy a quien yo quiero|b.LUK.4.6
Aman, tej, ipampa imelajcatlajtol Dios, Cristo quichihua para melahuac oncaj on yencuic pacto niman más cuajli xquen on isoltic pacto yejhuan oncatca ipan on tlanahuatijli.|De igual manera, Jesús ha sido hecho fiador de un pacto superior|b.HEB.7.22
Nejhua nemechchihuilia in para nemejhuamej no xchihuacan quen nejhua yonicchiu.|Porque ejemplo os he dado, para que así como yo os hice, vosotros también hagáis|b.JOH.13.15
Tejhuamej yoticajquej on tlen xcuajli san nochtacachihua niman on tlen tepinajtij. Xtitlacajcayajtinemij nion ticpatlaj itemachtil Dios. Yej ixpan Dios ticpantlantiaj on tlen melahuac, niman ijcon itlamachilis cada tlacatl yejhuan techixmatztoquej quimatij ica cuajli titohuicaj.|Pero rechazamos los tapujos de vergüenza, no procediendo con astucia, ni adulterando la palabra de Dios, sino que, por la clara demostración de la verdad, nos recomendamos a nosotros mismos a toda conciencia humana delante de Dios|b.2CO.4.2
'Quemaj oajsiquej on ocsequimej ichpocamej, niman oquijtojquej: “¡Señor, Señor, xtechtlatlapohuili!”|"Después vinieron también las otras vírgenes diciendo: ""¡Señor, señor, ábrenos!"|b.MAT.25.11
Pero on yejhuan tlayecanquetl catca ipan on tiopan ocualan pampa Jesús otepajtij ipan on tonajli de nesehuijli, niman yejhua oquimijlij on tlacamej: ―Chicuasen tonajli oncaj para tequitihuas. Ipan on tonaltin xhuajlacan para nemopajtisquej, niman ma ca ipan on tonajli de nesehuijli.|Y respondiendo el principal de la sinagoga, enojado de que Jesús hubiese sanado en sábado, decía a la gente: --Seis días hay en la semana en los cuales se debe trabajar. Venid, pues, en estos días y sed sanados, y no en el día de sábado|b.LUK.13.14
